id,name,categories,provinces,primaryType,rating,reviewsCount,address,phone,website,googleMapsUrl,lat,lng,priceHint,hours,plusCode
"1ba7bf565a07d44b","Tugawe Cove Resort","resorts|beaches|staycations|hotels","Camarines Sur|Catanduanes","4-star hotel","4.4","321","4.4(321)","","","https://www.google.com/maps/place/Tugawe+Cove+Resort/data=!4m10!3m9!1s0x33a02f7ce6cd22ad:0x1ba7bf565a07d44b!5m2!4m1!1i2!8m2!3d13.719567!4d123.971861!16s%2Fg%2F11_w09jy1!19sChIJrSLN5nwvoDMRS9QHWla_pxs?authuser=0&hl=en&rclk=1","13.719567","123.971861","","",""
"6e8120705d90f65c","Tukadon Resort","resorts","Sorsogon","Tourist attraction","4","5","4.0(5)","","","https://www.google.com/maps/place/Tukadon+Resort/data=!4m7!3m6!1s0x33a0e5dee3342839:0x6e8120705d90f65c!8m2!3d13.004904!4d123.9591768!16s%2Fg%2F11rfdxpn72!19sChIJOSg0497loDMRXPaQXXAggW4?authuser=0&hl=en&rclk=1","13.004904","123.9591768","","",""
"cbd804eba224046e","TURTLESPRING HOTEL","resorts|hotels","Camarines Sur","Hotel","4.8","4","4.8(4)","","","https://www.google.com/maps/place/TURTLESPRING+HOTEL/data=!4m10!3m9!1s0x33a2217b30eaa059:0xcbd804eba224046e!5m2!4m1!1i2!8m2!3d13.5783214!4d123.0706135!16s%2Fg%2F11rn7ll4bx!19sChIJWaDqMHshojMRbgQkousE2Ms?authuser=0&hl=en&rclk=1","13.5783214","123.0706135","","",""
"8f6952d527a0f461","Twin Bar & Cafe @ Lucky Hotel & Resort","food","Catanduanes","Restaurant","3.8","4","3.8(4)","","","https://www.google.com/maps/place/Twin+Bar+%26+Cafe+@+Lucky+Hotel+%26+Resort/data=!4m7!3m6!1s0x33a017c882a96ddd:0x8f6952d527a0f461!8m2!3d13.5785751!4d124.2299076!16s%2Fg%2F11t9bj0sng!19sChIJ3W2pgsgXoDMRYfSgJ9VSaY8?authuser=0&hl=en&rclk=1","13.5785751","124.2299076","","",""
"ae49c8c2e1cfa0c1","Twin Cabin Resort by Casa Estrella","staycations","Albay","Resort hotel","4","11","4.0(11)","","","https://www.google.com/maps/place/Twin+Cabin+Resort+by+Casa+Estrella/data=!4m7!3m6!1s0x33a1adac682c0265:0xae49c8c2e1cfa0c1!8m2!3d13.3346856!4d123.7239466!16s%2Fg%2F11vjfwtp5q!19sChIJZQIsaKytoTMRwaDP4cLISa4?authuser=0&hl=en&rclk=1","13.3346856","123.7239466","","",""
"1d04044d2b1dda5","Twin Rock Beach Resort","resorts|beaches|staycations|hotels|food","Catanduanes","4-star hotel","4.2","478","4.2(478)","","","https://www.google.com/maps/place/Twin+Rock+Beach+Resort/data=!4m10!3m9!1s0x33a0145b6cb15437:0x1d04044d2b1dda5!5m2!4m1!1i2!8m2!3d13.5225279!4d124.2126906!16s%2Fg%2F1th21bm9!19sChIJN1SxbFsUoDMRpd2x0kRA0AE?authuser=0&hl=en&rclk=1","13.5225279","124.2126906","","",""
"5ee2e55fa14e6f8","twins corner transient house","hotels","Camarines Sur","Hostel","5","6","5.0(6)","","","https://www.google.com/maps/place/twins+corner+transient+house/data=!4m10!3m9!1s0x33a1f310f9ed5ae7:0x5ee2e55fa14e6f8!5m2!4m1!1i2!8m2!3d13.6296466!4d123.2234815!16s%2Fg%2F11w8tj9zk1!19sChIJ51rt-RDzoTMR-OYU-lUu7gU?authuser=0&hl=en&rclk=1","13.6296466","123.2234815","","",""
"b3c96666677348af","Twins Corner Transient House","staycations","Camarines Sur","","","","Sleeps 12 • 2 bedrooms • Min 1 night","","","https://www.google.com/maps/place/Twins+Corner+Transient+House/data=!4m11!3m10!1s0x33a1f2d1e930ef2b:0xb3c96666677348af!5m2!4m1!1i2!8m2!3d13.6301861!4d123.2241516!16s%2Fg%2F11ytp8dbff!17BQ0FF!19sChIJK-8w6dHyoTMRr0hzZ2ZmybM?authuser=0&hl=en&rclk=1","13.6301861","123.2241516","","",""
"cc452516028313fa","TwoSingleBedUnit@SoniaIslandStay(SolarElectricity)","staycations","Catanduanes","","","","Sleeps 2 • 1 bedroom • 1 bathroom","","","https://www.google.com/maps/place/TwoSingleBedUnit@SoniaIslandStay%28SolarElectricity%29/data=!4m11!3m10!1s0x33a016d388a26749:0xcc452516028313fa!5m2!4m1!1i2!8m2!3d13.5843668!4d124.2386551!16s%2Fg%2F11ytp893qt!17BQ0FF!19sChIJSWeiiNMWoDMR-hODAhYlRcw?authuser=0&hl=en&rclk=1","13.5843668","124.2386551","","",""
"fcaaee1036b8d7eb","Tya Nena's Meal Stop","food","Sorsogon","Restaurant","3","13","3.0(13)","","","https://www.google.com/maps/place/Tya+Nena%27s+Meal+Stop/data=!4m7!3m6!1s0x33a0ef62abfa6d3b:0xfcaaee1036b8d7eb!8m2!3d12.9816538!4d123.9753227!16s%2Fg%2F11hb6cbxf3!19sChIJO236q2LvoDMR69e4NhDuqvw?authuser=0&hl=en&rclk=1","12.9816538","123.9753227","","Open now",""
